title,channel_title,subscriber_count,duration_minutes,released_year,views,language,region,likes,comments,has_subtitles
lofi hip hop radio ğŸ“š beats to relax/study to,Lofi Girl,14900000,0.0,2022,543390142,en-US,FR,3227137,0,FALSE
Chill Lofi Beats Mix [chill lo-fi hip hop beats/Study & Relax Music],Art Is Sound,12500,102.92,2024,2459613,en-US,US,15513,424,FALSE
"90's Lofi City ğŸ”¥Retro Tokyo Lofi ğŸŒƒ Lo fi Beats To Sleep, Relax [lofi hiphop mix]",Chillhop Street Beats,26800,90.82,2024,4093102,en,US,36930,1460,TRUE
ğ™»ğš˜ğšğš’ ğšğš˜ğš˜ğš– / ğ™¶ğšğš’ğšğšŠğš› ğ™»ğš˜ğšğš’ / ğ™²ğšŠğšğš ğ™¼ğšğšœğš’ğšŒ / ğ™´ğšŠğšœğš¢ ğš•ğš’ğšœğšğšğš—ğš’ğš—ğš / ğ™±ğ™¶ğ™¼ / ğ™»ğš˜ğšğš’ ğ™¼ğšğšœğš’ğšŒ / ğš…ğšğš›.ğŸ¾,Myour Music,39800,182.48,2024,4176732,en,US,31549,344,FALSE
90's Chill Lofi â˜•ï¸ Study Music Lofi Rain Chillhop Beats â˜”ï¸ Lofi Rain Playlist,The Japanese Town,50400,713.75,2024,9689587,en,US,78930,2972,FALSE
Make you feel positive and peaceful ğŸ€ Lofi Coffee â˜• ~ Lofi Hip Hop - Lofi Music [ Study/ Relax ],Lofi Coffee,66800,1478.63,2024,6785571,unknown,US,47591,1673,TRUE
"Seaside Coffee ğŸµ Feel your peace & Relax ğŸŒ± Coffee Morning | Lofi Hip Hop - Chill to work, relax",Healing Me,39800,704.75,2025,258138,unknown,GB,1515,79,FALSE
Daily Working Routine ğŸ“‚ Lofi Deep Focus Work/Study Concentration [chill lo-fi hip hop beats],ğ—–ğ—›ğ—œğ—Ÿğ—Ÿ ğ—©ğ—œğ—Ÿğ—Ÿğ—”ğ—šğ—˜,88300,715.0,2024,714533,en,US,3557,110,TRUE
Late Night Buzz 1,Bitcoin Music,3490000,02.08,2025,16,en,US,0,1,FALSE
Lo-fi Music for Calm and Relax | 2 Hours Chill Lo-fi Hip Hop Beats | CafÃ© Ambience,APM Music CafÃ©,7860,122.98,2024,778179,unknown,CA,3433,154,FALSE
Rainy Day â˜” Chilling Your Mood ğŸ§ Chill Lo-fi Hip Hop to Study / Relax / Work ğŸŒ² Lofi Coffee â˜•,Lofi Coffee,66800,213.37,2024,2381048,unknown,US,13726,580,FALSE
"Quiet Rainy Night ğŸŒ§ï¸ Lofi Chill Beats ğŸŒ™ Stress Relief, Study, Work with Chillhop Mix [ Chill Music ]",Chill City Night,10000,189.05,2024,360804,unknown,US,4282,132,FALSE
Daily Work Office ğŸ“’ Lofi Deep Focus Study/Work Concentration [chill lo-fi hip hop beats],ğ—–ğ—›ğ—œğ—Ÿğ—Ÿ ğ—©ğ—œğ—Ÿğ—Ÿğ—”ğ—šğ—˜,88300,714.93,2023,1342374,en,US,5786,191,TRUE
Lo-fi CafeÌ â˜•ï¸ 2 Hours Lo-fi Hip Hop Beats ğŸ¶ Music That Brings the Cafe Vibes to You | BGM | Ver.2,APM Music CafÃ©,7860,133.1,2025,175604,unknown,CA,1016,64,FALSE
Disney Lofi Mix [full playlist] âœ¨ 2h chill hiphop beats to study/relax to,mÃ¸on lofi beats,8830,109.43,2022,1356932,unknown,IT,14058,203,TRUE
lofi hip hop mix ğŸ“š beats to relax/study to (Part 1),Lofi Girl,14900000,176.92,2024,2671865,unknown,FR,16298,528,TRUE
90's Lofi City ğŸŒ§ï¸ Rainy Lofi Hip Hop ğŸ¶ Lofi Music & Rain Sounds,Chill Cities Vibes,59700,714.93,2024,2633974,en,US,34533,566,FALSE
synthwave radio ğŸŒŒ beats to chill/game to,Lofi Girl,14900000,0.0,2023,52122117,unknown,FR,395588,0,FALSE
Best of lofi hip hop 2022 ğŸ† - beats to relax/study to,Lofi Girl,14900000,191.23,2022,16110685,unknown,FR,107980,2731,FALSE
Quiet Night CafeğŸŒ¿ Lofi Music to Deep Focus to Relax/Study/Work - Chill Lo-fi Hip Hop ~ Lofi Coffee â˜•,Lofi Coffee,66800,214.65,2024,611360,unknown,US,2682,81,TRUE
One Piece ğŸ´â€â˜ ï¸ Lofi HipHop |best calm and relaxing Mix | Lofi Culture One Piece âš“ï¸,Lofi Culture,27500,67.38,2023,1570779,unknown,GB,35892,710,TRUE
"Lofi Relax ğŸƒ Lofi Hip Hop | Calming Music ğŸ¶ Deep Focus, Relaxing Music",Chill Melodies,95100,714.98,2024,2443981,en,US,23703,1408,FALSE
Morning Spring Lofi Music ğŸŒ· Coffee Music â˜• Lofi Hip Hop - Beats to relax//chill to,Dreamy Lofi Coffee,7990,714.98,2025,75655,en,CA,443,5,FALSE
Disney Lofi Songs [chill playlist] ğŸ€ 2h chill hiphop beats to study/work to,mÃ¸on lofi beats,8830,129.52,2025,100902,unknown,IT,436,21,TRUE
Restful Holidays â˜€ï¸ [summer lofi],Lofi Girl,14900000,61.35,2023,1315287,unknown,FR,21017,871,TRUE
Sunny Lofi Coffee ShopğŸŒ|~ Lofi Coffee â˜• ~ Lofi Hip HopğŸµ ~ Lofi MusicğŸ§ [ StudyğŸ“–/ RelaxğŸŒ/Work âœï¸],The Daily Grind,1060,360.0,2025,85092,unknown,US,676,37,TRUE
Chill Lofi Beats Mix [chill lo-fi hip hop beats/Study & Relax Music],Art Is Sound,12500,93.72,2025,121735,en-US,US,690,20,TRUE
Lo-fi Deep Focus Work and Study | 2 Hours Chill Lo-fi Hip Hop Beats | Relaxing Atmosphere,APM Music CafÃ©,7860,129.62,2024,317027,unknown,CA,1835,78,FALSE
Quiet Solitude - Lofi Song ~ Lofi hip hop mix ~ Stress Relief / Relaxing Music / Smoke & Chill,Chilli High,224000,714.93,2024,4399297,en,GB,46728,1623,FALSE
RÅnin æµªäºº â˜¯ Japanese Lofi HipHop Mix | 'A Wanderer',LO-FI SENPAI,190000,142.77,2023,462663,en,GB,6773,93,TRUE
Chill Lofi Beats Mix [chill lo-fi hip hop beats/Study & Relax Music],Art Is Sound,12500,90.15,2025,20732,en-US,US,118,10,TRUE
Chill Rainy Night ğŸŒ§ï¸ Beats To Sleep / Chill / Relax / Stress Relief [chill lo-fi hip hop beats],SpongeBoy Lofi,196000,714.97,2024,422090,en,US,3022,118,TRUE
Ghibli Vibes ğŸŒ» ~ Lofi Coffee â˜• | Deep focus to study / relax / work [ Lofi Hip Hop - Lofi Music ],Lofi Coffee,66800,1468.45,2024,462640,unknown,US,4654,120,FALSE
Malayalam & Tamil Lofi songs ~ malayalam lofi songs / malayalam old songs / tamil lofi songs / lofi,Abhy Vibe,11100,27.37,2024,342904,unknown,unknown,3788,200,FALSE
4 HOURS STUDY GIRL - Cozy lofi music and rain in background,Althea Gianera,6520,240.02,2023,2319136,en,unknown,35131,977,FALSE
RAINING IN ï¼¯ï¼³ï¼¡ï¼«ï¼¡ ğŸŒ§ï¸ Rain Lofi Songs To Make You Escape From Reality ğŸŒ§ï¸ Night Lofi Playlist,Lofi Everyday,100000,714.95,2023,1766818,en,CA,15704,190,TRUE
Gentle May Morning with Coffee & Lofi Music â˜•ğŸƒ Start Your Day,Warm Melody,50600,159.18,2025,129843,unknown,US,1165,17,FALSE
Night lofi playlist â€¢ lofi music | chill beats to relax/study to,HITO,49700,60.87,2023,3652894,unknown,unknown,43712,744,TRUE
Cafe in the MorningğŸŒ»Take a time to work/relax/study with Lofi MusicğŸ§~ Lofi Coffeeâ˜•[ Chill Hip Hop ],Lofi Coffee,66800,215.18,2024,1387576,unknown,US,5443,281,FALSE
LO-FI GIRL MYSTERY ğŸ˜± #mystery #conspiracy #theory #lofimusic,Jumpers Jump Clips,1910000,0.97,2023,15399927,unknown,unknown,896471,7649,TRUE
ğŸ”¥ Cozy Fireplace Ambiance & Lofi Music | Relaxing Study and Chill ğŸ”¥,Lofi Fireplace,3580,120.03,2024,690086,en,TR,4209,119,FALSE
Lofi music playlistã€2 hourã€sleep/study/aesthetic/work/relax,xuanlofi,92200,123.13,2022,8614317,en-US,KR,163176,3549,TRUE
"Relive 1980s Lofi City Vibes ğŸ· Rainy Lofi Music Mix for Sleep, Study, and Focus ğŸ“š Lofi Rain Playlist",The Japanese Town,50400,714.25,2024,500566,en,US,4345,103,FALSE
Chill Lofi Beats Mix [chill lo-fi hip hop beats/Study & Relax Music],Art Is Sound,12500,68.57,2024,568432,en-US,US,2493,70,FALSE
"chill rainy night lofi ğŸŒ§ calm your anxiety, relaxing music [chill lo-fi hip hop beats]",Aesthetic Lofi,225000,714.95,2023,1325066,en,US,14602,298,TRUE
Chill Lofi BeatsğŸ§[chill lo-fi hip hop beats]Lofi Deep Focus Work/Study /Reading,Cozy Lofi,3410,75.53,2024,524461,unknown,unknown,2194,57,FALSE
The Witcher but it's lofi beats,bits & hits,87600,60.0,2024,436712,en-GB,SE,12104,365,FALSE
Making a Lofi Christmas song ğŸ”¥,Forrest Frank,1810000,1.0,2023,1030786,en,unknown,45027,446,TRUE
ALBUM CHILL WITH VICKY NHUNG (SEASON 3) | REMEMBER | LOFI MUSIC | PLAYLIST NHáº C LOFI CHILL CUá»I TUáº¦N,Vicky Nhung,467000,18.6,2022,3755146,vi,VN,10640,409,TRUE
Making Chappell Roan but Lofi #chappellroan #lofimusic #chillbeats,Lofi Latte,1060,0.85,2025,13537,en,unknown,955,25,TRUE
Fight or Flight - Movie Review,Jeremy Jahns,2040000,4.48,2025,117995,en,unknown,7545,529,TRUE
Clown in a Cornfield - Movie Review,Chris Stuckmann,2030000,5.82,2025,54545,en,unknown,3021,291,TRUE
Thunderbolts* - Movie Review,Jeremy Jahns,2040000,06.08,2025,1020506,en,unknown,41675,4197,TRUE
Until Dawn - Movie Review,Jeremy Jahns,2040000,6.43,2025,330811,en,unknown,15796,1885,TRUE
Thunderbolts* - Movie Review,Chris Stuckmann,2030000,4.98,2025,237235,en,unknown,10781,1084,TRUE
Sinners - Movie Review,Jeremy Jahns,2040000,9.72,2025,732209,en,unknown,34373,3965,TRUE
Sitaare Zameen Par Trailer REVIEW | Deeksha Sharma,Filmi Indian,4590000,4.22,2025,347722,hindi,IN,14696,1381,TRUE
FINAL DESTINATION - Retro Movie Review,Double Toasted,295000,56.68,2025,29760,en,US,1568,308,TRUE
Single movie review#travel#explore#trending#viral#yt#ad#ytshorts#shorts#reels#vlog#india#telugu#good,santugaditindigadha,1830,0.45,2025,1085,IN,unknown,14,0,FALSE
The Accountant 2 - Movie Review,Jeremy Jahns,2040000,6.52,2025,291740,en,unknown,16773,1111,TRUE
Sinners - Movie Review,Chris Stuckmann,2030000,7.22,2025,368585,en,unknown,16211,1927,TRUE
DROP - Movie Review,Jeremy Jahns,2040000,7.9,2025,199562,en,unknown,11641,640,TRUE
The Amateur - Movie Review,Jeremy Jahns,2040000,6.67,2025,286204,en,unknown,13728,1034,TRUE
Clown in a Cornfield - Movie Review,Jeremy Jahns,2040000,5.12,2025,130555,en,unknown,8293,566,TRUE
KALIYUGAM 2064 is a DARK KALKI 2898 AD? ğŸ˜¨ğŸ˜± | Movie Review,Man Of Fiction,49700,4.0,2025,17483,en-IN,IN,716,19,FALSE
A Minecraft Movie isâ€¦ ğŸ¤¨ | The Best Worst Movie Ever ğŸ¬,Edited By Geo,11700,1.0,2025,313860,en,US,12138,576,TRUE
Minecraft Movie Review (no spoilers),camman18,10100000,0.78,2025,11328738,en-US,US,616858,7401,TRUE
Anaganaga Movie Review | Anaganaga Review | Sumanth | Movies4u,Movies4u Official,208000,3.4,2025,16173,te,IN,809,1,FALSE
Sitaare Zameen Par Trailer Review | Yogi Bolta Hai,YOGI BOLTA HAI,1310000,3.2,2025,385637,zxx,IN,18360,1287,TRUE
akkada ammayi ekkada abbai movie review ğŸ¿ #pradeep#deepikapilli#akkadaammayiikkadaabbayi#moviereview,Loku cine world,41900,0.45,2025,425231,te,IN,0,21,FALSE
Brutal South Movie like Ratsasan!,ABHI KA REVIEW,1530000,0.53,2025,506968,en-IN,IN,22999,57,TRUE
Sikandar Movie REVIEW | Deeksha Sharma,Filmi Indian,4590000,8.25,2025,1788010,hindi,IN,44047,7764,TRUE
"""A Minecraft Movie"" REVIEW (I saw it)",Squiddo,667000,0.87,2025,212178,en-GB,GB,11356,257,TRUE
Side effects of Sanam teri Kasam movieğŸ¥º#shortsviral #harshvardhanrane #moviereview,Aditya Gautam,229000,0.72,2025,5976522,hindi,IN,469117,894,TRUE
#Single Movie Review | Single Review | #Single Review | Telugu Movies | Movie Matters,Movie Matters,433000,1.87,2025,113754,te,IN,6062,336,FALSE
Clown In A Cornfield ğŸ¤¡ğŸŒ½ Movie Review,DannyDorito23,3350000,1.0,2025,15200,en,US,855,35,TRUE
Hit 3 Movie Review ğŸ¥µğŸ”¥| Nani #Hit3Review #Nani #Srinidhishetty #RetroReview #Surya#HariHaraVeeraMallu,Cinemads,862000,0.6,2025,449984,en,IN,40167,166,FALSE
Phule movie review ğŸ”¥ | #phule #pratikgandhi #filmitri #moviereview #bollywood #shortsfeed,Filmi tri,60200,0.47,2025,103883,IN,IN,3538,58,TRUE
Murmur Movie Review ğŸ˜¡ || à®à®©à¯à®©à®Ÿà®¾ à®ªà®Ÿà®®à¯ à®‡à®¤à¯ ğŸ˜‚ğŸ”¥ #murmurmoviereview #murmurreview #shorts #tamilmovie,Uruttu Arafath Voice,165000,0.62,2025,328630,tamil,unknown,15341,265,FALSE
Prince Movie Review | Dileep,Secret Agent,805000,12.1,2025,249748,malayalam,IN,5524,951,FALSE
Dragon Movie Review ğŸ¤¯ğŸ’¥|| à®¤à®°à®®à®¾à®© à®ªà®Ÿà®®à¯ ğŸ”¥ Pradeep ğŸ’€ #dragonreview #dragonmoviereview #shorts #shortsfeed,Uruttu Arafath Voice,165000,0.7,2025,645582,IN,unknown,42612,78,FALSE
Naadaniyan Movie Review ğŸ˜‚ | #bollywood | #ibrahimalikhan | #khushikapoor | Mahima Seth,Mahima Seth,497000,0.93,2025,70028,hindi,IN,3288,84,TRUE
My Review of Sinners (2025)ğŸ¿ğŸ¬ğŸ’«#shorts #movie #review,NostalgiaSell,15400,0.38,2025,65207,unknown,unknown,1833,76,FALSE
ğŸ¤£à°ˆ à°à°¡à°¿à°¯à°¾ à°à°²à°¾ à°µà°šà±à°šà°¿à°‚à°¦à°¿ | Perusu Movie,à°¸à°¿à°¨à°¿à°®à°¾ UPDATES,228000,0.32,2025,426150,en-US,unknown,11233,25,TRUE
Odela 2 Movie REVIEW | Deeksha Sharma,Filmi Indian,4590000,3.97,2025,308630,hindi,IN,8061,227,TRUE
Why Bhool Chuk Maaf Movie Cancelled? | Deeksha Sharma,Filmi Indian,4590000,3.72,2025,456485,hindi,IN,11770,430,TRUE
Single Movie Review ğŸ¥µğŸ”¥| Sree Vishnu #SingleReview #SreeVishnu #ShubhamReview #Samantha #ManchuVishnu,Cinemads,862000,0.6,2025,157563,en,IN,13393,24,TRUE
Odela 2 movie review #ytshorts #youtubeshorts #tamannaah #odela2teaser #trendingshorts #viral,KK Thinks 2.0,84900,0.6,2025,127463,telugu,IN,3884,11,FALSE
HIT 3 Movie REVIEW | Deeksha Sharma,Filmi Indian,4590000,4.9,2025,746618,hindi,IN,22231,827,TRUE
Dragon everyone why like ia? ğŸ’€ğŸ”¥#dragon #moviereview #shorts,Filmi Boy,13300,1.0,2025,1335649,hi,IN,80300,427,TRUE
Yesto Khatra Film Aja Samma Baneko ThenağŸ”¥ğŸ¬ | Pitambar Movie Review | #pitambar #nepalimovie #shorts,Cinesahitya Nepal,2150,0.5,2025,123088,ne,NP,3955,16,FALSE
#single Movie Review Telugu | Single Review Telugu | Single Telugu Review | Single Review,FEATU GADI MEDIA,154000,2.73,2025,39608,telugu,IN,1660,136,FALSE
The Diplomat Movie Review #thediplomat #moviereview #johnabraham,Jasstag,1110000,0.85,2025,47829,en,IN,1970,32,TRUE
Single Movie Review || Poolachokka Reviews || Sree Vishnu || Vennala Kishore || Telugu,Poolachokka,652000,1.88,2025,299441,telugu,IN,9437,331,FALSE
Gangers ğŸ’¸ Movie Review âœ… OR âŒ #trending #shortsfeed #shorts #review #90skid #viralvideo #movie,90's KID,59400,1.0,2025,97991,ta,IN,4143,3,TRUE
ğŸ¥µYamakaathaghi - Reviewâ‰ï¸ #shorts #review #dhiweshvlogs,Dhiwesh Vlogs,19700,0.7,2025,130835,hindi,IN,4703,84,FALSE
Sinners - Movie Review,Mikeâ€™s Movie Reviews,1730,0.75,2025,13703,en,US,301,13,TRUE
Shin Chan: Our Dinosaur Diary Movie Review | Yogi Bolta Hai,YOGI BOLTA HAI,1310000,2.15,2025,245016,zxx,IN,11353,345,TRUE
Raid 2 Movie REVIEW | Deeksha Sharma,Filmi Indian,4590000,5.17,2025,635937,hindi,IN,15658,1554,TRUE
"Hit 3 Movie Review | Nani, Srinidhi Shetty | Sailesh Kolanu | Hit The Third Case | Thyview",Thyview,993000,3.85,2025,512567,en-US,US,17186,538,FALSE